,T-Blackbody Ave. (C),T-Left-inner-Wall Ave. (C),T-right-inner-wall Ave. (C),T-left-outside-wall Ave. (C)
0:00:00,25.31,25.38,25.41,25.22
0:00:10,25.3,25.37,25.41,25.21
0:00:20,25.31,25.38,25.42,25.21
0:00:30,25.31,25.38,25.43,25.22
0:00:40,25.31,25.37,25.43,25.21
0:00:50,25.31,25.38,25.43,25.21
0:01:00,25.31,25.38,25.43,25.21
0:01:10,25.3,25.37,25.43,25.21
0:01:20,25.31,25.38,25.45,25.21
0:01:30,25.31,25.38,25.45,25.21
0:01:40,25.3,25.37,25.45,25.2
0:01:50,25.31,25.38,25.46,25.21
0:02:00,25.32,25.39,25.48,25.21
0:02:10,25.32,25.39,25.48,25.22
0:02:20,25.32,25.39,25.48,25.22
0:02:30,25.32,25.39,25.49,25.22
0:02:40,25.32,25.39,25.49,25.22
0:02:50,25.33,25.4,25.5,25.22
0:03:00,25.33,25.4,25.49,25.22
0:03:10,25.34,25.41,25.51,25.23
0:03:20,25.33,25.4,25.5,25.23
0:03:30,25.33,25.41,25.49,25.22
0:03:40,25.34,25.41,25.5,25.23
0:03:50,25.35,25.42,25.5,25.23
0:04:00,25.35,25.42,25.48,25.23
0:04:10,25.35,25.42,25.48,25.24
0:04:20,25.35,25.42,25.47,25.23
0:04:30,25.35,25.42,25.46,25.23
0:04:40,25.35,25.43,25.46,25.24
0:04:50,25.36,25.44,25.47,25.24
0:05:00,25.35,25.42,25.46,25.23
0:05:10,25.39,25.43,25.47,25.23
0:05:20,26.53,25.43,25.47,25.23
0:05:30,28.86,25.44,25.47,25.23
0:05:40,31.64,25.45,25.47,25.24
0:05:50,34.53,25.47,25.47,25.25
0:06:00,37.44,25.48,25.47,25.25
0:06:10,40.34,25.49,25.47,25.24
0:06:20,43.32,25.51,25.48,25.25
0:06:30,46.14,25.54,25.49,25.26
0:06:40,48.92,25.55,25.48,25.26
0:06:50,51.65,25.56,25.47,25.24
0:07:00,54.35,25.58,25.49,25.25
0:07:10,57.04,25.61,25.49,25.25
0:07:20,59.93,25.64,25.49,25.26
0:07:30,62.52,25.66,25.49,25.26
0:07:40,65.08,25.68,25.49,25.27
0:07:50,67.61,25.72,25.5,25.28
0:08:00,70.11,25.74,25.51,25.28
0:08:10,72.59,25.77,25.52,25.28
0:08:20,75.18,25.81,25.53,25.3
0:08:30,77.56,25.82,25.53,25.29
0:08:40,79.91,25.85,25.53,25.3
0:08:50,82.25,25.89,25.54,25.3
0:09:00,84.55,25.92,25.55,25.31
0:09:10,86.85,25.94,25.56,25.31
0:09:20,89.21,25.98,25.55,25.32
0:09:30,91.4,26,25.54,25.33
0:09:40,93.57,26.04,25.55,25.33
0:09:50,95.71,26.07,25.55,25.34
0:10:00,97.81,26.1,25.57,25.35
0:10:10,99.88,26.13,25.58,25.35
0:10:20,101.93,26.17,25.59,25.37
0:10:30,103.94,26.21,25.61,25.38
0:10:40,105.93,26.25,25.62,25.39
0:10:50,107.87,26.28,25.63,25.4
0:11:00,109.78,26.31,25.63,25.4
0:11:10,111.67,26.35,25.62,25.42
0:11:20,113.53,26.38,25.61,25.42
0:11:30,115.35,26.41,25.6,25.42
0:11:40,117.15,26.45,25.6,25.43
0:11:50,118.91,26.47,25.61,25.44
0:12:00,120.65,26.51,25.63,25.45
0:12:10,122.37,26.55,25.65,25.46
0:12:20,124.05,26.59,25.66,25.47
0:12:30,125.71,26.63,25.69,25.49
0:12:40,127.34,26.67,25.7,25.51
0:12:50,128.93,26.7,25.71,25.51
0:13:00,130.49,26.74,25.72,25.52
0:13:10,132.03,26.77,25.73,25.53
0:13:20,133.54,26.81,25.74,25.54
0:13:30,135.02,26.84,25.74,25.54
0:13:40,136.47,26.87,25.75,25.55
0:13:50,137.89,26.91,25.75,25.56
0:14:00,139.28,26.93,25.75,25.57
0:14:10,140.67,26.98,25.78,25.59
0:14:20,142.02,27.01,25.79,25.59
0:14:30,143.35,27.05,25.81,25.61
0:14:40,144.65,27.08,25.83,25.62
0:14:50,145.92,27.11,25.84,25.63
0:15:00,147.17,27.15,25.86,25.65
0:15:10,148.39,27.19,25.87,25.66
0:15:20,149.58,27.22,25.87,25.66
0:15:30,150.76,27.25,25.88,25.68
0:15:40,151.91,27.29,25.9,25.7
0:15:50,153.04,27.32,25.91,25.71
0:16:00,154.14,27.36,25.91,25.72
0:16:10,155.21,27.39,25.92,25.72
0:16:20,156.27,27.43,25.94,25.74
0:16:30,157.3,27.46,25.94,25.75
0:16:40,158.31,27.5,25.96,25.77
0:16:50,159.3,27.53,25.97,25.78
0:17:00,160.26,27.56,25.98,25.79
0:17:10,161.21,27.59,25.99,25.8
0:17:20,162.14,27.62,26,25.81
0:17:30,163.05,27.65,26.01,25.82
0:17:40,163.95,27.69,26.03,25.84
0:17:50,164.81,27.71,26.03,25.84
0:18:00,165.67,27.74,26.04,25.86
0:18:10,166.5,27.78,26.06,25.87
0:18:20,167.33,27.81,26.07,25.89
0:18:30,168.12,27.84,26.08,25.9
0:18:40,168.91,27.87,26.09,25.91
0:18:50,169.68,27.9,26.1,25.93
0:19:00,170.44,27.95,26.11,25.95
0:19:10,171.18,27.98,26.12,25.96
0:19:20,171.9,28.01,26.14,25.98
0:19:30,172.59,28.03,26.14,25.98
0:19:40,173.28,28.05,26.15,25.99
0:19:50,173.95,28.08,26.16,26
0:20:00,174.62,28.11,26.17,26.01
0:20:10,175.26,28.14,26.19,26.03
0:20:20,175.9,28.17,26.2,26.04
0:20:30,176.52,28.19,26.21,26.05
0:20:40,177.11,28.21,26.22,26.06
0:20:50,177.71,28.24,26.23,26.07
0:21:00,178.28,28.27,26.24,26.09
0:21:10,178.84,28.29,26.25,26.1
0:21:20,179.4,28.32,26.26,26.11
0:21:30,179.93,28.34,26.27,26.12
0:21:40,180.46,28.37,26.28,26.13
0:21:50,180.98,28.4,26.29,26.15
0:22:00,181.48,28.42,26.3,26.16
0:22:10,181.98,28.45,26.32,26.18
0:22:20,182.46,28.47,26.33,26.19
0:22:30,182.92,28.5,26.34,26.2
0:22:40,183.38,28.52,26.35,26.21
0:22:50,183.82,28.54,26.35,26.21
0:23:00,184.27,28.57,26.37,26.23
0:23:10,184.7,28.59,26.39,26.25
0:23:20,185.12,28.62,26.4,26.27
0:23:30,185.53,28.65,26.42,26.28
0:23:40,185.93,28.67,26.43,26.29
0:23:50,186.32,28.69,26.44,26.31
0:24:00,186.7,28.71,26.45,26.32
0:24:10,187.07,28.73,26.46,26.33
0:24:20,187.44,28.76,26.47,26.34
0:24:30,187.8,28.78,26.49,26.36
0:24:40,188.14,28.8,26.5,26.37
0:24:50,188.47,28.82,26.5,26.37
0:25:00,188.81,28.84,26.52,26.38
0:25:10,189.13,28.86,26.53,26.39
0:25:20,189.45,28.89,26.54,26.41
0:25:30,189.76,28.91,26.55,26.42
0:25:40,190.06,28.93,26.57,26.44
0:25:50,190.36,28.95,26.58,26.45
0:26:00,190.65,28.98,26.59,26.46
0:26:10,190.93,28.99,26.6,26.48
0:26:20,191.2,29.01,26.61,26.48
0:26:30,191.46,29.03,26.62,26.49
0:26:40,191.72,29.04,26.63,26.51
0:26:50,191.99,29.07,26.65,26.53
0:27:00,192.23,29.09,26.66,26.54
0:27:10,192.47,29.11,26.67,26.55
0:27:20,192.71,29.12,26.68,26.56
0:27:30,192.95,29.15,26.69,26.58
0:27:40,193.17,29.17,26.7,26.59
0:27:50,193.39,29.18,26.71,26.59
0:28:00,193.61,29.2,26.72,26.61
0:28:10,193.81,29.21,26.73,26.62
0:28:20,194.02,29.24,26.75,26.63
0:28:30,194.22,29.26,26.76,26.65
0:28:40,194.42,29.27,26.78,26.66
0:28:50,194.61,29.29,26.79,26.67
0:29:00,194.8,29.31,26.8,26.69
0:29:10,194.98,29.33,26.82,26.7
0:29:20,195.16,29.34,26.83,26.71
0:29:30,195.33,29.35,26.84,26.71
0:29:40,195.5,29.38,26.85,26.73
0:29:50,195.66,29.38,26.86,26.73
0:30:00,195.81,29.39,26.86,26.74
0:30:10,195.98,29.42,26.88,26.76
0:30:20,196.13,29.44,26.9,26.77
0:30:30,196.28,29.45,26.9,26.78
0:30:40,196.42,29.46,26.91,26.79
0:30:50,196.58,29.49,26.93,26.81
0:31:00,196.72,29.51,26.94,26.83
0:31:10,196.85,29.52,26.95,26.83
0:31:20,196.98,29.53,26.95,26.83
0:31:30,197.1,29.54,26.96,26.84
0:31:40,197.23,29.55,26.96,26.85
0:31:50,197.35,29.57,26.97,26.87
0:32:00,197.47,29.59,26.98,26.88
0:32:10,197.59,29.61,26.99,26.9
0:32:20,197.72,29.63,27.01,26.91
0:32:30,197.82,29.63,27,26.91
0:32:40,197.92,29.64,27.01,26.92
0:32:50,198.03,29.65,27.02,26.93
0:33:00,198.13,29.67,27.03,26.94
0:33:10,198.23,29.68,27.03,26.95
0:33:20,198.33,29.69,27.04,26.95
0:33:30,198.43,29.71,27.05,26.97
0:33:40,198.53,29.73,27.07,26.99
0:33:50,198.62,29.74,27.08,27
0:34:00,198.71,29.75,27.08,27
0:34:10,198.79,29.76,27.09,27.01
0:34:20,198.88,29.77,27.1,27.02
0:34:30,198.97,29.79,27.12,27.03
0:34:40,199.05,29.8,27.13,27.04
0:34:50,199.13,29.82,27.14,27.06
0:35:00,199.21,29.83,27.15,27.07
0:35:10,199.28,29.84,27.16,27.07
0:35:20,199.35,29.85,27.17,27.08
0:35:30,199.42,29.86,27.18,27.09
0:35:40,199.49,29.87,27.19,27.09
0:35:50,199.57,29.89,27.2,27.11
0:36:00,199.64,29.9,27.21,27.12
0:36:10,199.69,29.9,27.21,27.12
0:36:20,199.75,29.91,27.21,27.13
0:36:30,199.82,29.93,27.22,27.14
0:36:40,199.88,29.94,27.23,27.15
0:36:50,199.94,29.95,27.24,27.16
0:37:00,200,29.96,27.26,27.17
0:37:10,200.06,29.98,27.27,27.18
0:37:20,200.12,29.99,27.28,27.19
0:37:30,200.18,30.01,27.29,27.21
0:37:40,200.23,30.02,27.3,27.21
0:37:50,200.27,30.02,27.3,27.22
0:38:00,200.32,30.03,27.32,27.23
0:38:10,200.37,30.04,27.32,27.23
0:38:20,200.42,30.05,27.33,27.24
0:38:30,200.46,30.06,27.33,27.25
0:38:40,200.51,30.07,27.35,27.26
0:38:50,200.56,30.08,27.35,27.27
0:39:00,200.6,30.09,27.36,27.28
0:39:10,200.65,30.11,27.37,27.29
0:39:20,200.68,30.11,27.37,27.29
0:39:30,200.73,30.13,27.39,27.31
0:39:40,200.77,30.14,27.39,27.31
0:39:50,200.81,30.15,27.4,27.33
0:40:00,200.84,30.16,27.41,27.33
0:40:10,200.88,30.16,27.41,27.33
